codeexterne,type_organisme,abreviation,denomination_sociale,denomination_commerciale,numeroidentification,localisation_potentielle,intitule,duree,qualifiante,certifiante,public,condition_specifique,session_codeexterne,session_datedebut,session_datefin,session_continue,sheet,in_scope
0057-0001-3105,Cheque-formation,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,facebook et instagram apprendre a bien communiquer sur vos reseaux sociaux professionnels,14 Heures,NON,NON,travailleur,"<ul>
<li>Savoir manipuler un ordinateur et avoir un compte Facebook et Instagram</li>
<li>Disposer de vos logins et mots de passe de connexion pour les deux comptes</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés et ouvriers en entreprises, titulaires de professions libérales, indépendants et prestataires de services, chargés de marketing, chargés de communication.</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0057-0001-3106,Cheque-formation,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,creer vos videos avec un smartphone perfectionnement,14 Heures,NON,NON,travailleur,"<ul>
<li>Posséder un smartphone, avoir suivi le module 1, disposer de l’application Adobe Rush ou CapCut.</li>
</ul>
ou pour les personnes n'ayant pas suivi le module 1 :
<ul>
<li>Avoir déjà une expérience dans la réalisation de vidéos avec un smartphone,</li>
</ul>
incluant le tournage et le montage de vidéos simples.
<ul>
<li>Être capable de filmer des séquences avec une bonne stabilité et un cadrage</li>
</ul>
correct et un enregistrement audio de qualité.
<ul>
<li>Connaître les bases du logiciel de montage (type Adobe Rush, CapCut) : couper</li>
</ul>
des clips, ajouter de la musique et des titres.
<ul>
<li>Être familier avec l’exportation de vidéos pour les réseaux sociaux.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux personnes amenées à utiliser les canaux multimédias pour promouvoir</li>
</ul>
leurs produits et services : chargés de communication, indépendant, chargé de marketing, commercial
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0057-0001-3107,Cheque-formation,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,l intelligence artificielle ia au service de son entreprise initiation,35 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, indépendants, responsables de la communication digitale au sein d’une TPE/PME, cadres, dirigeants d'entreprise, aux responsables d'opérations, professionnels de l'informatique, du marketing et de la stratégie, responsable RH, employé</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0057-0001-3108,Cheque-formation,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,l intelligence artificielle ia au service de son entreprise perfectionnement,35 Heures,NON,NON,travailleur,"<ul>
<li>Maîtrise des bases de l'intelligence artificielle (son fonctionnement, ses risques et</li>
</ul>
avantages)
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, indépendants, responsables de la communication digitale au sein d’une TPE/PME, cadres, dirigeants d'entreprise, aux responsables d'opérations, professionnels de l'informatique, du marketing et de la stratégie, responsable RH, employé</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0057-0001-3109,Cheque-formation,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,introduction a la programmation python,56 Heures,NON,NON,travailleur,"Formation exclusivement réservée :
<p>
<ul>
<li>Aux entrepreneurs dans le domaine technologique, ingénieur, employé, cadre, informaticien, dirigeant, concepteur de projet.</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.
_x000D_
_x000D_
Sont exclus :_x000D_
_x000D_
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0207343933-18608,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique introduction a l informatique,20 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-18609,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique reseaux internet intranet,40 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-20364,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,bachelier en informatique de gestion bacheliere en informatique de gestion,2180 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-20367,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique gestionnaire de base de donnees niveau elementaire,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-20368,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique tableur excel niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-20373,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique edition assistee par ordinateur word niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-21064,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,bachelier en informatique et systemes orientation reseaux et telecommunications,2300 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-22285,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,ebenisterie,400 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-22306,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,tapissier garnisseur,580 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-22308,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,dessin artistique,8 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-23408,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,windows word excel internet elementaire,180 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-23409,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,photoshop traitement de l image numerique,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-23483,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,technicien en informatique technicienne en informatique,1300 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-23846,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique edition assistee par ordinateur word niveau moyen,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-23847,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,excel niveau moyen,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-23851,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique windows niveau debutant,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-23855,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique edition assistee par ordinateur word niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-30564,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique powerpoint presentation assistee par ordinateur,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-31031,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique tableur excel niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-35049,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,utilisation de tablette,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-35052,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,informatique initiation a internet,10 Semaines,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-42374,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,technicien en programmation,1240 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-45465,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,dessin technique dao 2d 3d autocad,200 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-47404,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,menuisier d interieur et d exterieur menuisiere d interieur et d exterieur,1240 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-53820,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,croquis urbain,3 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0207343933-55923,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,bachelier en informatique orientation reseaux et telecommunications bacheliere en informatique orientation reseaux et telecommunications,3 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207343933-55993,Enseignement pour Adultes,,Ville de Liège,,207343933,Liège,bachelier en informatique orientation informatique industrielle bacheliere en informatique orientation informatique industrielle,3 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0236363165-45352,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,booster les competences numeriques de niveau a elementaire,24 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0236363165-46630,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,les outils de la bioinformatique au service d un projet de recherche en sciences de la vie,90 Jours,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0236363165-47104,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,offre modulaire en centre ouvert autoformation,17 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0236363165-47105,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,modules numeriques a distance et ou en centre creation de contenu,92 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0236363165-47106,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,charge chargee de communication digitale,15 Semaines,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0236363165-47416,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,developpez votre activite creative projet culturel artistique dans le secteur du tourisme,19 Jours,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0236363165-48802,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,competence numerique de niveau elementaire selon digcomp,40 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0236363165-48920,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,indesign all in,80 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0236363165-48921,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,photoshop all in,80 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0236363165-50180,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,wordpress gestion et personnalisation,28 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0236363165-54929,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,organisateur organisatrice d evenements a caractere touristique,7 Semaines,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0236363165-57463,FOREM Service Clientèle,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Liège,automation et intelligence artificielle,20 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0409115415-44862,CISP DéFI Centre d'insertion socioprofessionnelle,AIGS,Association interrégionale Guidance et de Santé,,409115415,Liège,et apres module d orientation pour un public de personnes justiciables,135 Semaines,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0410148959-24089,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,technicien en photographie technicienne en photographie,1160 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0410148959-24137,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,arts plastiques peinture,1460 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0410148959-24138,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,illustration edition,1460 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0410148959-24259,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,bachelier arts plastiques visuels et de l espace,2260 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0410148959-24260,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,initiation aux arts plastiques,6 Mois,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0410148959-24303,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,initiation au dessin d observation,6 Mois,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0410148959-24307,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,sculpture,1 Années,OUI,OUI,chercheur d emploi,,,,,,Feuil1,out
0410148959-24309,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,techniques d impression artistiques,1 Années,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0410148959-44383,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,initiation a la photographie,1 Années,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0410148959-56932,Enseignement pour Adultes,,Comite Organisateur des Instituts Saint-Luc de Liège,,410148959,Liège,infographie,1 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0418141759-13847,CISP DéFI Centre d'insertion socioprofessionnelle,G.S.A.R.A.,Groupe socialiste d'Action et de Réflexion sur l'Audio - Visuel,,418141759,Liège,technicien ne polyvalent e en audiovisuel,1600 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0418559057-13526,CISP DéFI Centre d'insertion socioprofessionnelle,C.V.F.E.,Collectif contre les Violences familiales et l'Exclusion - LIEGE,,418559057,Liège,digit l,655 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0418559057-15476,CISP DéFI Centre d'insertion socioprofessionnelle,C.V.F.E.,Collectif contre les Violences familiales et l'Exclusion - LIEGE,,418559057,Liège,digistart les matinees informatiques de sofft entre femmes,4 Semaines,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-20182,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,bijoutier joaillier bijoutiere joaillere chef d entreprise,3 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-20184,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,decorateur decoratrice d interieur chef d entreprise,3 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-20187,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,photographe chef d entreprise,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-23012,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,conseiller conseillere en relations publiques chef d entreprise,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-23068,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,concepteur conceptrice d animation 3d chef d entreprise,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-23087,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,regisseur technicien de spectacles regisseuse technicienne de spectacles chef d entrerprise,3 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-23246,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,antiquaire chef d entreprise,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-47298,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,developpeur developpeuse web front end,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-50582,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,community manager coordination et encadrement,1 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-53652,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,administrateur administratrice reseaux et systemes,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-53653,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,graphic designer graphiste,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-53654,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,regisseur regisseuse de cinema,1 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-53662,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,assistant assistante de production audiovisuelle,1 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-55153,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,administrateur specialise administratrice specialisee en cloud computing,1 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-55155,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,ux ui designer,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-55310,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,cinema assistant assistante realisateur realisatrice,1 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-55321,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,maquilleur maquilleuse cinema,1 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0420404235-58004,IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME,,Centre IFAPME Liège - Huy - Verviers,,420404235,Liège,developpeur developpeuse web back end,2 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0424385589-56365,Organisme privé de formation (associatif),,Réso asbl,,424385589,Liège,digistart,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0425429330-56854,CISP DéFI Centre d'insertion socioprofessionnelle,,Perspectives,,425429330,Liège,creative community certified by perspectives cccp,36 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0432063833-13866,CISP DéFI Centre d'insertion socioprofessionnelle,,MICROBUS,,432063833,Liège,pre formation en vue de reussir les tests d entree en formation qualifiante techn e com,4 Mois,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0432063833-56263,CISP DéFI Centre d'insertion socioprofessionnelle,,MICROBUS,,432063833,Liège,digistart,10 Jours,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0435766758-57204,CISP DéFI Centre d'insertion socioprofessionnelle,,Alter Form,,435766758,Liège,digistart,48 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0441242706-56264,CISP DéFI Centre d'insertion socioprofessionnelle,C.L.F.,Centre liégeois de Formation,,441242706,Liège,digistart,48 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0443519137-40205,CISP DéFI Centre d'insertion socioprofessionnelle,,Proforma,,443519137,Liège,les tic au service de l orientation professionnelle cisp,577 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0443519137-56822,CISP DéFI Centre d'insertion socioprofessionnelle,,Proforma,,443519137,Liège,digistart programmation,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0443519137-57069,CISP DéFI Centre d'insertion socioprofessionnelle,,Proforma,,443519137,Liège,digistart,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0443567934-56461,CISP DéFI Centre d'insertion socioprofessionnelle,E.D.I.T.,Equipe d'Insertion dans le Travail,,443567934,Liège,digistart,7 Semaines,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0458220674-27282,Centre de compétence,,TECHNIFUTUR,,458220674,Liège,motion designer,6 Mois,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0460058132-20683,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,ouvrier tapissier garnisseur travaux pratiques de base,300 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0460058132-44260,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,ameublement confection techniques de base,160 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0460058132-44261,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,ameublement habillage de fenetres et de coussins niveau 1,120 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0460058132-46731,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,expressions manuelles niveau 1 cuir,100 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0460058132-46735,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,expressions manuelles niveau 2 cuir ou teintures vegetales,100 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0460058132-55088,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,ameublement broderie main technique de base ue1,120 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,out
0460058132-55456,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,expressions manuelles niveau 1 tissage,100 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0460058132-55457,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,expressions manuelles niveau 2 tissage,100 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0460058132-55459,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,expressions manuelles niveau 1 teinture vegetale,100 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0460058132-57849,Enseignement pour Adultes,Ecoles Soralia Liège,Ecoles de Promotion sociale Soralia Liège - réseau Solidaris,,460058132,Liège,expressions manuelles artisanat multi techniques,100 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0461051094-20900,Enseignement pour Adultes,,"Centre d'Enseignement Saint - Laurent, Liège",,461051094,Liège,bachelier en informatique de gestion bacheliere en informatique de gestion,2180 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0461051094-23395,Enseignement pour Adultes,,"Centre d'Enseignement Saint - Laurent, Liège",,461051094,Liège,bureautique niveau 1,320 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0461051094-23396,Enseignement pour Adultes,,"Centre d'Enseignement Saint - Laurent, Liège",,461051094,Liège,bureautique niveau 2,360 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0461051094-23397,Enseignement pour Adultes,,"Centre d'Enseignement Saint - Laurent, Liège",,461051094,Liège,initiation a la sculpture,240 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,out
0461051094-23398,Enseignement pour Adultes,,"Centre d'Enseignement Saint - Laurent, Liège",,461051094,Liège,initiation a l ebenisterie et a la restauration,240 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,out
0461051094-25062,Enseignement pour Adultes,,"Centre d'Enseignement Saint - Laurent, Liège",,461051094,Liège,ameublement actualisation gainerie,120 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0461051094-25066,Enseignement pour Adultes,,"Centre d'Enseignement Saint - Laurent, Liège",,461051094,Liège,ameublement decoration de l habitat,732 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
