codeexterne;type_organisme;abreviation;denomination_sociale;denomination_commerciale;numeroidentification;localisation_potentielle;intitule;duree;Courte;moyenne;longue;qualifiante;certifiante;public;condition_specifique
0239-0001-0358;Cheque-formation;;CENTRE IFAPME Luxembourg;;409136201;Libramont-Chevigny;Photoshop;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée aux :
<p>
<ul>
<li>Commerçants, artisans, dirigeants de PME, industriels, cadres et employés de PME, titulaires de professions libérales et prestataires de services</li>
</ul>
<p>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0667;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Power BI;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Le participant doit disposer d’une connaissance préalable d'Excel, du reporting ou des bases de données

Formation exclusivement réservée : 

- Aux secrétaires, comptables et data analystes

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0096-0001-0348;Cheque-formation;;TECHNOFUTUR TIC;;463962381;Charleroi;Power Bi - concevez des tableaux de bord complets et interactifs avec Power Bi;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Disposer de bonnes connaissances en SQL et en BI ou avoir suivi la formation</li>
</ul>
Interrogation des données : SQL et NoSQL et Principes et concepts de la BI.
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux data analysts, data scientists, bi consultants</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0096-0001-0295;Cheque-formation;;TECHNOFUTUR TIC;;463962381;Charleroi;PowerBI;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Disposer de bonnes connaissances en SQL et en BI ou avoir suivi la formation Interrogation des données : SQL et NoSQL et Principes et concepts de la BI.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux data analysts, data scientists - bi consultants</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0871-0001-0026;Cheque-formation;;QUALITY TRAINING;;898204558;Uccle;PowerBI / PowerQuery initiation - FAD;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Une bonne connaissance d'Excel

Formation exclusivement réservée aux : 

- Employés, cadres, managers utilisant l'ordinateur et les outils bureautiques

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0322;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Prince 2® - Fondamentalis;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée : 

- Aux chefs de projets souhaitant acquérir une méthodologie en gestion de projets 

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0677;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;PRINCE 2® - Practitioner;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Avoir des compétences développées par la formation ""PRINCE 2 Foundation"" sont nécessaires

Formation exclusivement réservée : 

- Aux gestionnaires de projet et chefs de projet

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0759;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Programmation avec Python pour l’IA;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée : 

- Aux développeurs, programmeurs, data scientists

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0048-0001-0314;Cheque-formation;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;Charleroi;Programmeur sur machine à commande numérique;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir un minimum de connaissances de base en menuiserie.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux menuisiers, charpentiers, techniciens et agents d’encadrement de l’industrie du bois</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0722;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Python pour traitement de données (Machine Learning);21 Heures;OUI;NON;NON;NON;NON;Travailleur;"-  Le participant doit avoir une bonne logique de programmation et des bonnes notions de bases de données.
-  Mais également des bonnes bases de statistiques voir de data mining.

Formation exclusivement réservée : 

- Aux data Scientists, responsables de traitement de texte

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0048-0001-0404;Cheque-formation;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;Charleroi;Réaliser des animations en Html5 - Animate CC;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Être à l’aise avec l’environnement informatique</li>
<li>Avoir des notions de HTML / CSS</li>
<li>Avoir des notions de Javascript sont un atout</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux Web designers, graphistes, directeurs artistiques, game designers ou toute personne souhaitant réaliser des animations pour le web (HTML5 et / ou vidéo)</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0321;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Référentiel ITIL®;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Avoir des connaissances dans le domaine des technologies de l'information et de la communication.
- Avoir des connaissances dans la gestion des ressources d'une entreprise.

Formation exclusivement réservée : 

- Aux chefs de projet et directeurs de systèmes informatiques.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0684;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Réseau sans fil Cisco - Labo de configuration;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Le participant doit avoir suivi le cours bases réseaux ou disposer des compétences équivalentes.

Formation exclusivement réservée : 

- Aux ingénieurs systèmes et techniciens télécom

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0773;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Sharepoint sur Office365;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée : 

- Aux professionnels de l'informatique, de la gestion de projet et de la collaboration, des ressources humaines qui dans le cadre de leurs activités professionnelle doivent maîtriser Sharepoint sur Office 365

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
1084-0001-0051;Cheque-formation;;B2B LEARNING;;475396208;Saint-Gilles;SIAM Foundation;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Il n'y a pas de prérequis spécifiques, mais une connaissance de la terminologie de la gestion des services informatiques ou de l'ITIL serait bénéfique. Avant de participer au cours, il est nécessaire de lire le SIAM™ Foundation Preparation Guide.

Formation exclusivement réservée : 

- Aux professionnels qui veulent comprendre et mettre en œuvre SIAM™ dans leur organisation. Il est également conçu pour les fournisseurs qui veulent mettre en œuvre et gérer les modèles d'intégration et de gestion des services. Les fonctions incluent les directeurs de l'information, les gestionnaires de services, les stratèges de portefeuille de fournisseurs de services, les gestionnaires de processus, les gestionnaires de relations d'affaires, les gestionnaires de changement, les gestionnaires de projets et de programmes, …


Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0801;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Siemens : Industrial Ethernet et Profinet IO;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Avoir des bonnes connaissances de l'automate S7.

Formation exclusivement réservée : 

- Aux personnels de production, de maintenance, du montage électrique, agents de maintenance en électricité et automaticiens

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0190-0001-0425;Cheque-formation;;TECHNIFUTUR;;458220674;Seraing;Siemens : WinCC Flexible;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Avoir des bonnes connaissances en STEP 7.

Formation exclusivement réservée : 

- Aux personnels de production, de maintenance et du montage

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0110-0001-0252;Cheque-formation;;TECHNOCAMPUS;;872426116;Charleroi;Solidworks formes complexes;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Avoir suivi la formation solidwoks de base (6 jours) TR-CO-FAO-504-V01)
- Avoir une expérience dans la CAO 3D.

Formation exclusivement réservée : 

- Aux concepteurs, dessinateurs

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0110-0001-0253;Cheque-formation;;TECHNOCAMPUS;;872426116;Charleroi;Solidworks mécanique avancée;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Avoir suivi la formation Solkiwarks Essentials (6 jours) TR-CO-FAO-512) ou teste de niveau à réussir.

Formation exclusivement réservée : 

- Aux concepteurs, dessinateurs

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0236363165-45747;FOREM Office wallon de la formation professionnelle et de l'emploi;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;Mons;Tableur  – Fonction avancées (EXCEL) ;21 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0057-0001-1809;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;TCP/IP : notions fondamentales;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une bonne maîtrise de Windows et connaissance de base de composants matériels des ordinateurs (mémoire RAM, disques durs, processeurs,..) Cette formation est un préambule à l'apprentissage de réseaux.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux commerçants, artisans, dirigeants d’entreprises, industriels, cadres, employés et ouvriers en entreprises, titulaires de professions libérales, indépendants, prestataires de services, informaticiens et technicien en informatique</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0096-0001-0354;Cheque-formation;;TECHNOFUTUR TIC;;463962381;Charleroi;Techniques de l'intelligence artificielle;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux personnes intéressées par les développements de l'intelligence artificielle</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0236363165-48308;FOREM Office wallon de la formation professionnelle et de l'emploi;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;La Louvière;Traitement de texte - Fonctions avancées (WORD);21 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0236363165-45752;FOREM Office wallon de la formation professionnelle et de l'emploi;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;Mons;Traitement de texte - Fonctions avancées (WORD);21 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0096-0001-0301;Cheque-formation;;TECHNOFUTUR TIC;;463962381;Charleroi;UML;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux data analysts, data scientists - bi consultants</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0057-0001-2904;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;V-RAY - BASE;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une maîtrise de Windows et de l’ordinateur.</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux architectes, designers, dessinateurs, projeteurs, ingénieurs, travailleurs/responsables de bureaux d’études et travailleurs amenés à utiliser un logiciel de rendu comme extension de logiciels de modélisation 3D</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0871-0001-0027;Cheque-formation;;QUALITY TRAINING;;898204558;Uccle;VBA initiation - FAD;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Une bonne connaissance d'Excel

Formation exclusivement réservée aux : 

- Employés, cadres, managers utilisant l'ordinateur et les outils bureautiques

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0048-0001-0519;Cheque-formation;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;Charleroi;Vue. Js pour progressive web app;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une maîtrise de HTML, CSS et JavaScript</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux intégrateurs et développeurs front-end</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0871-0001-0003;Cheque-formation;;QUALITY TRAINING;;898204558;Uccle;Word - Perfectionnement - FAD;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"- Une connaissance de base de Word

Formation exclusivement réservée aux : 

- Employés, cadres, managers utilisant l'ordinateur et les outils bureautiques.

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0048-0001-0356;Cheque-formation;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;Charleroi;WordPress : créer son propre thème;21 Heures;OUI;NON;NON;NON;NON;Travailleur;"<ul>
<li>Avoir une pratique du HTML et des CSS</li>
<li>Avoir une petite connaissance d’un CMS et de PHP est un plus</li>
</ul>
<p>
Formation exclusivement réservée :
<p>
<ul>
<li>Aux Web designers chargés de réaliser ou modifier un site avec le CMS WordPress, d’en personnaliser la présentation</li>
</ul>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0207725104-21274;Enseignement pour Adultes;;Province de Liège;;207725104;Seraing;INFORMATIQUE : INITIATION AUX LOGICIELS;210 Heures;NON;OUI;NON;NON;OUI;Chercheur d'emploi;
0057-0001-1716;Cheque-formation;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Réalisateur audiovisuel en techniques vidéo;210 Heures;NON;OUI;NON;NON;NON;Travailleur;"Formation exclusivement réservée :
<p>
<ul>
<li>Aux intermittents du spectacle, auteurs, chargés de communication ou marketing, photographes, publicistes, reporters, journalistes, réalisateurs audiovisuels en activités et travailleurs/indépendants qui dans le cadre de leur activité professionnelle sont amenés à réaliser des films dans leur entreprise</li>
</ul>
<p>
<p>
Sont exclus :
<p>
Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.


Sont exclus :

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public."
0212358536-29300;CISP EFT Centre d'insertion socioprofessionnelle;C.P.A.S.;Administration Générale;;212358536;Charleroi;Agent valoriste généraliste : revalorisation de biens-meubles;2100 Heures;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0454231501-18494;CISP EFT Centre d'insertion socioprofessionnelle;;AID Val de Senne;;454231501;Tubize;OUVRIER Valoriste en ressourcerie ;2100 Heures;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0850029608-25222;Enseignement pour Adultes;;INSTITUT D'ENSEIGNEMENT DE PROMOTION SOCIALE DE LA COMMUNAUTE FRANCAISE DE COLFONTAINE;;850029608;Colfontaine;BACHELIER EN INFORMATIQUE DE GESTION;2160 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-20029;Enseignement pour Adultes;;Province du Hainaut;;207656610;Ecaussinnes;Bachelier en Informatique de Gestion / Bachelière en Informatique de Gestion;2160 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0850023965-20756;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG;;850023965;Arlon;Bachelier en Informatique de Gestion / Bachelière en Informatique de Gestion;2180 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207343933-20364;Enseignement pour Adultes;;Ville de Liège;;207343933;Liège;Bachelier en Informatique de Gestion / Bachelière en Informatique de Gestion;2180 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0461051094-20900;Enseignement pour Adultes;;Centre d'Enseignement Saint - Laurent, Liège;;461051094;Liège;Bachelier en Informatique de Gestion / Bachelière en Informatique de Gestion;2180 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0850024658-21868;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC MOUSCRON WALLONIE PICARDE;;850024658;Mouscron;Bachelier en Informatique de Gestion / Bachelière en Informatique de Gestion;2180 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0458453276-58044;Enseignement pour Adultes;;CBC NAMUR LUXEMBOURG-FORMATION ENSEIGNEMENT;;458453276;Namur;Bachelier en Informatique, orientation Développement d'Applications / Bachelière en Informatique, orientation Développement d'Applications;2180 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0850013473-56646;Enseignement pour Adultes;;Etablissement d'Enseignement pour Adultes et Formation Continue de Péruwelz, EAFC Péruwelz;;850013473;Péruwelz;Bachelier en Informatique, orientation Développement d'Applications / Bachelière en Informatique, orientation Développement d'Applications;2180 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0850031388-20512;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC NAMUR CEFOR;;850031388;Namur;Bachelier en Informatique de Gestion / Bachelière en Informatique de Gestion;2200 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207725104-21055;Enseignement pour Adultes;;Province de Liège;;207725104;Verviers;Bachelier en Informatique de Gestion / Bachelière en Informatique de Gestion;2200 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-57820;Enseignement pour Adultes;;Province du Hainaut;;207656610;La Louvière;Bachelier en Informatique, orientation Développement d'Applications / Bachelière en Informatique, orientation Développement d'Applications;2200 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0408136705-57605;Enseignement pour Adultes;COIRAM;Comité Organisateur de l'Institut Reine Astrid de Mons;;408136705;Mons;Bachelier en Informatique, orientation Développement d'Applications / Bachelière en Informatique, orientation Développement d'Applications;2200 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-38059;Enseignement pour Adultes;;Province du Hainaut;;207656610;Charleroi;Bachelier en Techniques Graphiques - Orientation Techniques Infographiques / Bachelière en Techniques Graphiques - Orientation Techniques Infographiques ;2200 Heures;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
